matchID,map,p_model,mc_mean,mc_se
2368036,Anubis,0.39994543647089714,0.4044,0.4908246344310286
2368036,Nuke,0.5324227817187843,0.544,0.4981100508166292
2368036,Inferno,0.6189586739338865,0.628,0.4833867318685002
2368105,Vertigo,0.49225396688009554,0.5002,0.5000499674972481
2368105,Anubis,0.538355902900657,0.5496,0.49758351848867977
2368306,Anubis,0.21902824803392812,0.2244,0.41722830188180937
2368306,Overpass,0.4129509285857444,0.4166,0.493044682165544
2367966,Ancient,0.5623815230685335,0.5722,0.4948091826405863
2367966,Overpass,0.5315175012997372,0.5432,0.4981800845872262
2367966,Inferno,0.5582537451315116,0.569,0.49526564347986257
2368280,Overpass,0.6007324349348168,0.61,0.48779871824134957
2368280,Anubis,0.5061206525571275,0.5164,0.49978094821555563
2368182,Overpass,0.5711185603876954,0.5812,0.49341184729413423
2368182,Ancient,0.48297300853779795,0.493,0.5000010001990396
2368182,Nuke,0.6752549750985297,0.6816,0.465902192493869
